ISO	WALS	AUTOTYP	Glottolog	Name.ethn	Name.wals	Name.autotyp	Name.glottlog	Latitude	Longitude	UULID
			alto1238				Alto Navarro Septentrional	NA	NA	[i-][w-][a-][g-alto1238]
			altp1234				Altpreussisch	NA	NA	[i-][w-][a-][g-altp1234]
			aluk1239				Aluku	NA	NA	[i-][w-][a-][g-aluk1239]
			alum1247				Alumu	NA	NA	[i-][w-][a-][g-alum1247]
			alum1248				Alumbis	NA	NA	[i-][w-][a-][g-alum1248]
			alur1249				Aluru	NA	NA	[i-][w-][a-][g-alur1249]
			alut1246				Alutorskij	NA	NA	[i-][w-][a-][g-alut1246]
			aluu1242				Aluu	NA	NA	[i-][w-][a-][g-aluu1242]
			aluu1243				Alu	NA	NA	[i-][w-][a-][g-aluu1243]
			alvi1242				Alvir	NA	NA	[i-][w-][a-][g-alvi1242]
			alya1240				Alyawarr Auxiliary Sign Language	NA	NA	[i-][w-][a-][g-alya1240]
			alyk1238				Alyk	NA	NA	[i-][w-][a-][g-alyk1238]
			amab1234				Amabi	NA	NA	[i-][w-][a-][g-amab1234]
			amad1240				Amadiye Kurdish	NA	NA	[i-][w-][a-][g-amad1240]
			amad1244				Amadiya Jewish Neo-Aramaic	NA	NA	[i-][w-][a-][g-amad1244]
			amai1247				Amaizuho	NA	NA	[i-][w-][a-][g-amai1247]
			amam1246				Amam	-7.9	146.92	[i-][w-][a-][g-amam1246]
			aman1261				Amanda-Afi	NA	NA	[i-][w-][a-][g-aman1261]
			aman1262				Amanavil	NA	NA	[i-][w-][a-][g-aman1262]
			aman1263				Amana	NA	NA	[i-][w-][a-][g-aman1263]
			aman1264				Amanuban-Amanatun	NA	NA	[i-][w-][a-][g-aman1264]
			amar1241				Amariba	NA	NA	[i-][w-][a-][g-amar1241]
			amar1275				Hamorua	NA	NA	[i-][w-][a-][g-amar1275]
			amar1281				Amara {Beja}	NA	NA	[i-][w-][a-][g-amar1281]
			amay1238				Amayo	NA	NA	[i-][w-][a-][g-amay1238]
			amba1264				Ambawang	NA	NA	[i-][w-][a-][g-amba1264]
