stock	mbranch	sbranch	ssbranch	lsbranch	language	LID	glottolog_LID.2014	ISO639.3.2013
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Zulu	581	zulu1248	zul
Guaicuruan	NA	NA	NA	NA	Abipon	582	abip1241	axb
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Canaanitic	Hebrew (Modern)	583	hebr1245	heb
Austronesian	Malayo-Polynesian	Oceanic	Central Pacific	NA	Fijian	585	fiji1243	fij
Dravidian	Central Dravidian	NA	NA	NA	Kolami	595	nort2699	kfb
Cahuapanan	NA	NA	NA	NA	Chayahuita	599	chay1248	cbt
Cariban	NA	NA	NA	NA	Pemon	600	pemo1248	aoc
Nilotic	Western Nilotic	Lwo	Southern Lwo	NA	Acholi	603	acol1236	ach
Benue-Congo	Cross River	NA	NA	NA	Efik	604	efik1245	efi
Adamawa-Ubangi	NA	NA	NA	NA	Ngbandi	605	sout2784	nbw
Kwadi-Khoe	NA	NA	NA	NA	Nharo	606	naro1249	nhr
Uralic	Finno-Ugric	Finno-Permian	Finno-Volgaic	Maric	Mari	608	mari1278	chm
Indo-European	Italic-Celtic	Italic	NA	NA	Portuguese	609	port1283	por
Indo-European	Greek-Armenian	Armenian	NA	NA	Armenian (Western)	610	nucl1235	hye
Turkic	Common Turkic	Karluk (Southeastern Turkic)	Uyghur	NA	Uighur	611	uigh1240	uig
Eskimo-Aleut	Eskimoan	NA	NA	NA	Yup’ik (Siberian)	612	cent2128	ess
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	Malayan / Malayic	NA	Malay	613	stan1306	zsm
Austroasiatic	Eastern Mon-Khmer	Khmeric	NA	NA	Cambodian	614	cent1989	khm
Yuman	NA	NA	NA	NA	Cocopa	616	coco1261	coc
Muskogean	NA	NA	NA	NA	Alabama	618	alab1237	akz
Mayan	Huastecan	NA	NA	NA	Huastec	619	huas1242	hus
Pano-Tacanan	Tacanan	NA	NA	NA	Araona	620	arao1248	aro
Arawakan	Apurina-Piro-Iñapari	NA	NA	NA	Piro	623	piro1248	pie
Quechuan	NA	NA	NA	NA	Quechua (Cuzco)	624	cusc1236	quz
Sino-Tibetan	Angami-Pochuri Group	NA	NA	NA	Naga (Angami)	625	anga1288	njm
Sino-Tibetan	West Himalayish	NA	NA	NA	Kinnauri	626	kinn1249	kfk
Sino-Tibetan	West Himalayish	Greater Kinnauri	NA	NA	Rangpas	627	tibe1272	bod
Sino-Tibetan	West Himalayish	NA	NA	NA	Byangsi	628	byan1241	bee
Sino-Tibetan	Bodic	Tamangic (TGTM)	NA	NA	Chantyal	629	chan1310	chx
Sino-Tibetan	Bodic	Tibetan	Central Tibetan (U-Tsang)	NA	Lhomi	630	lhom1239	lhm
Sino-Tibetan	Bodic	Tibetan	Western Archaic Tibetan	NA	Balti	631	balt1258	bft
Sino-Tibetan	Kiranti	Western Kiranti	Northwestern Kiranti	NA	Hayu	632	wayu1241	vay
Indo-European	Indo-Iranian	Indo-Aryan	Dardic (Northwestern Indo-Aryan)	NA	Kashmiri	633	kash1277	kas
Dravidian	North Dravidian	NA	NA	NA	Malto	634	kimb1241	kmb
Austroasiatic	Munda	Northern Munda	Kherwarian	NA	Santali	635	sant1410	sat
Indo-European	Indo-Iranian	Indo-Aryan	Dardic (Northwestern Indo-Aryan)	NA	Shina (Eastern)	636	shin1264	scl
Sino-Tibetan	Kiranti	Central-Eastern Kiranti	Eastern Kiranti	Upper Arun	Yamphu	637	sout2734	ybi
Indo-European	Indo-Iranian	Indo-Aryan	Eastern Indo-Aryan	NA	Assamese	638	assa1263	asm
Indo-European	Indo-Iranian	Indo-Aryan	Eastern Indo-Aryan	Bangla	Bangla	639	beng1280	ben
Sino-Tibetan	Newaric	NA	NA	NA	Newar (Kathmandu)	640	newa1246	new
Indo-European	Indo-Iranian	Indo-Aryan	Eastern Indo-Aryan	Oriya	Oriya	641	nucl1284	ori
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (Egyptian)	642	egyp1253	arz
South Atlantic	NA	NA	NA	NA	Kisi	643	kisi1243	kiz
Kariri	NA	NA	NA	NA	Kiriri (Kipea)	644	kari1255	kzw
Hatam	NA	NA	NA	NA	Hatam	645	hata1243	had
Macro-Ge	Ge	Southern Ge	NA	NA	Xokleng	646	xokl1240	xok
Macro-Ge	Bororo	NA	NA	NA	Bororo	648	boro1282	bor
Mande	West Mande	NA	NA	NA	Jeli	649	jeri1242	jek
Dogon	NA	NA	NA	NA	Dogon	650	donn1238	dds
Kwadi-Khoe	Kalahari	NA	NA	NA	//Ani	651	anii1246	hnh
Kwadi-Khoe	Kalahari	NA	NA	NA	Khoe	652	kxoe1243	xuu
!Ui-Taa	NA	NA	NA	NA	!Xõo	653	xooo1239	nmn
Tsimshianic	NA	NA	NA	NA	Nisgha	654	nisg1240	ncg
Gunwingguan	NA	NA	NA	NA	Mayali	655	gunw1252	gup
Macro-Ok	Awyu-Dumut	NA	NA	NA	Korowai	656	koro1312	khe
Pama-Nyungan	Warluwarric	NA	NA	NA	Yanyuwa	658	yany1243	jao
Pama-Nyungan	Kala Lagaw La	NA	NA	NA	Kala Lagaw La	659	kala1377	mwp
Pama-Nyungan	Bandjalangic	NA	NA	NA	Bandjalang	660	band1339	bdy
Gunabidjian	NA	NA	NA	NA	Ndjebbana	661	djee1236	djj
Sino-Tibetan	Tani	Western Tani	NA	NA	Apatani	662	apat1240	apt
Sino-Tibetan	Nungish	NA	NA	NA	Dulong	663	kach1280	kac
Sino-Tibetan	Remnant Himalayish	NA	NA	NA	Kham	664	west2420	kjl
Yana	NA	NA	NA	NA	Yana	665	yana1271	ynn
Coahuiltec	NA	NA	NA	NA	Coahuiltec	666	coah1252	xcw
Sino-Tibetan	Kiranti	Midwestern Kiranti	NA	NA	Thulung (Mukli)	667	thul1246	tdh
Totonac-Tepehuan	NA	NA	NA	NA	Totonac (Misantla)	668	yecu1235	tlc
Koiarian	Koiaric	NA	NA	NA	Koiari	669	gras1249	kbk
Turkic	Common Turkic	Oghuz	Arghu	NA	Khalaj	670	turk1303	klj
