Family	Tree
Turkic	(((('Uzbek {Northern} [i-uzb][w-][a-2680][g-uzbe1247]','Uzbek [i-uzb][w-][a-805][g-uzbe1247]',('Salar [i-slr][w-slr][a-2445][g-sala1264]','Aynu [i-aib][w-ayn][a-861][g-ainu1251]','Uighur [i-uig][w-uyg][a-611][g-uigh1240]')'Uyghur [i-][w-][a-][g-]')'Karluk {Southeastern Turkic} [i-][w-][a-][g-]',('Urum [i-uum][w-urm][a-2677][g-urum1249]','Turkmen [i-tuk][w-tkm][a-2534][g-turk1304]','Gagauz [i-gag][w-gag][a-1516][g-gaga1249]','Turkic {West Xorasan} [i-kmz][w-tex-twx][a-1346][g-khor1269]','Turkic {East-Central Xorasan} [i-kmz][w-tex-twx][a-1345][g-khor1269]','Azari {Iranian} [i-azb][w-aze-azi][a-954][g-sout2697]','Azerbaijani [i-aze][w-][a-748][g-azer1255]',('Khalaj [i-klj][w-khl][a-670][g-turk1303]')'Arghu [i-][w-][a-][g-]','Turkish [i-tur][w-tur][a-502][g-nucl1301]')'Oghuz [i-][w-][a-][g-]',('Tatar [i-tat][w-tmi-ttb-tvo][a-2630][g-tata1255]','Noghay [i-nog][w-nog-nok-tlb-yta][a-2193][g-noga1249]','Kumyk [i-kum][w-kuq][a-1820][g-kumy1244]','Karaim [i-kdr][w-krm][a-1726][g-kara1464]','Kirghiz [i-kir][w-kfy-kgz][a-1725][g-kirg1245]','Kazakh [i-kaz][w-kaz][a-1705][g-kaza1248]','Karakalpak [i-kaa][w-kkp][a-1695][g-kara1467]','Krymchak [i-jct][w-][a-1444][g-krym1236]','Tatar {Mishar} [i-tat][w-tmi-ttb-tvo][a-1432][g-tata1255]','Tatar {Baraba} [i-tat][w-tmi-ttb-tvo][a-1431][g-tata1255]','Tatar {Yurt} [i-nog][w-nog-nok-tlb-yta][a-1372][g-noga1249]','Tatar-Noghay {Alabugat} [i-nog][w-nog-nok-tlb-yta][a-1371][g-noga1249]','Noghay {Karagash} [i-nog][w-nog-nok-tlb-yta][a-1370][g-noga1249]','Kirghiz {Fu-Yu} [i-kir][w-kfy-kgz][a-1339][g-kirg1245]','Tatar {Crimean} [i-crh][w-cri][a-1181][g-crim1257]','Bashkir [i-bak][w-bsk][a-1094][g-bash1264]','Karachay-Balkar [i-krc][w-krc][a-124][g-kara1465]')'Kipchak {Northwest Turkic} [i-][w-][a-][g-]',('Saryg Yughur [i-ybe][w-syg][a-2766][g-west2402]',('Yakut [i-sah][w-ykt][a-2662][g-yaku1245]','Khakas [i-kjh][w-khk][a-1763][g-khak1248]','Dolgan [i-dlg][w-dol][a-1351][g-dolg1241]','Shor [i-cjs][w-shr][a-1153][g-shor1247]','Chulym [i-clw][w-cly][a-1141][g-chul1246]','Altai {Southern} [i-alt][w-aso][a-880][g-sout2694]','Tofa {Karagas} [i-kim][w-tof][a-719][g-kara1462]','Tuva [i-tyv][w-tuv][a-387][g-tuvi1240]')'Siberian [i-][w-][a-][g-]')'Northern Turkish [i-][w-][a-][g-]')'Common Turkic [i-][w-][a-][g-]',('Chuvash [i-chv][w-chv][a-57][g-chuv1255]')'Bulghar {aka Oghur} [i-][w-][a-][g-]')'Turkic [i-][w-][a-][g-]');
Mongolic	(('Mongolian {Peripheral} [i-mvf][w-ord][a-2895][g-peri1253]','Shira Yughur [i-yuy][w-shy][a-2798][g-east2337]','Santa [i-sce][w-sta][a-2400][g-dong1285]','Baonan [i-peh][w-bao][a-2285][g-bona1250]','Ordos [i-mvf][w-ord][a-2102][g-peri1253]','Moghol [i-mhj][w-mog][a-2029][g-mogh1245]','Mangghuer [i-mjg][w-mgg][a-2016][g-tuuu1240]','Dagur [i-dta][w-dgr][a-1416][g-daur1238]','Oirat [i-oia][w-][a-1343][g-oira1263]','Kalmyk {Issyk-Kul} [i-xal][w-kiq-kmk-oir][a-1342][g-kalm1243]','Kalmyk [i-xal][w-kiq-kmk-oir][a-1341][g-kalm1243]','Buriat [i-bua][w-][a-1095][g-buri1258]','Khamnigan [i-mon][w-][a-791][g-mong1331]','Mongolian {Khalkha} [i-khk][w-kha][a-188][g-halh1238]')'Mongolic [i-][w-][a-][g-]');
Tungusic	((('Sibe [i-nco][w-][a-2977][g-sibe1248]','Manchu [i-mnc][w-mnc][a-2015][g-manc1252]','Jurchen [i-juc][w-jur][a-1690][g-jurc1239]')'Southern Tungusic [i-][w-][a-][g-]',(('Even [i-eve][w-evn][a-738][g-even1260]')'Northeastern Tungusic [i-][w-][a-][g-]',('Orok [i-oaa][w-ork][a-2238][g-orok1265]','Negidal [i-neg][w-neg][a-2153][g-negi1245]','Solon [i-evn][w-eve-sol][a-1288][g-even1259]','Evenki [i-evn][w-eve-sol][a-527][g-even1259]')'Northwestern Tungusic [i-][w-][a-][g-]')'Northern Tungusic [i-][w-][a-][g-]',(('Udihe [i-ude][w-udh][a-2657][g-udih1248]','Oroch [i-oac][w-orc][a-2239][g-oroc1248]')'Central-Eastern Tungusic [i-][w-][a-][g-]',('Ulcha [i-ulc][w-ulc][a-2663][g-ulch1241]','Nanai [i-gld][w-nai][a-201][g-nana1257]')'Central-Western Tungusic [i-][w-][a-][g-]')'Central Tungusic [i-][w-][a-][g-]')'Tungusic [i-][w-][a-][g-]');
Yukagir	(('Yukagir {Kolyma} [i-yux][w-yko][a-2797][g-sout2750]','Yukagir {Tundra} [i-ykg][w-ytu][a-423][g-nort2745]')'Yukagir [i-][w-][a-][g-]');
Yeniseian	(('Yugh [i-yuu][w-yug][a-2796][g-yugh1239]','Kott [i-zko][w-][a-777][g-kott1239]','Ket [i-ket][w-ket][a-129][g-kett1243]')'Yeniseian [i-][w-][a-][g-]');
Ainu	(('Ainu [i-ain][w-ain][a-12][g-ainu1240]')'Ainu [i-][w-][a-][g-]');
Japanese	(('Okinawan {Shuri} [i-ryu][w-ryu][a-3172][g-cent2126]','Japanese [i-jpn][w-jpn][a-118][g-nucl1643]')'Japanese [i-][w-][a-][g-]');
Korean	(('Korean [i-kor][w-kor][a-141][g-kore1280]')'Korean [i-][w-][a-][g-]');
Chukchi-Kamchatkan	((('Itelmen [i-itl][w-ite][a-116][g-itel1242]')'Kamchatkan [i-][w-][a-][g-]',(('Koryak [i-kpy][w-kry][a-1808][g-kory1246]','Alutor [i-alr][w-alu][a-879][g-alut1245]')'Southern Chukotkan [i-][w-][a-][g-]',('Kerek [i-krk][w-krq][a-1813][g-kere1280]','Chukchi [i-ckt][w-chk][a-56][g-chuk1273]')'Northern Chukotkan [i-][w-][a-][g-]')'Chukotkan [i-][w-][a-][g-]')'Chukchi-Kamchatkan [i-][w-][a-][g-]');
Eskimo-Aleut	((('Yup`ik {Pacific Gulf} [i-ems][w-atq][a-2860][g-paci1278]','Yup`ik {Sirenik} [i-ysr][w-ysi][a-2788][g-sire1246]','Inupiaq [i-esk][w-][a-1478][g-nort2945]','Yup`ik {Norton Sound} [i-esu][w-ych-ypk-yun][a-1286][g-cent2127]','Yup`ik {Chevak} [i-esu][w-ych-ypk-yun][a-1285][g-cent2127]','Yup`ik {Saint Lawrence Island} [i-ess][w-ysl-yus][a-1284][g-cent2128]','Greenlandic {South} [i-kal][w-gre-grw-gso][a-1282][g-kala1399]','Greenlandic {East} [i-kal][w-gre-grw-gso][a-1281][g-kala1399]','Kangiryuarmiut [i-ikt][w-inr-kgt][a-1280][g-west2618]','Inuktitut {Rankin Inlet} [i-iku][w-][a-1279][g-east2534]','Inuktitut {Salluit} [i-iku][w-][a-1278][g-east2534]','Inuktitut {Quebec-Labrador} [i-iku][w-][a-1277][g-east2534]','Yup`ik {Siberian} [i-ess][w-ysl-yus][a-612][g-cent2128]','Greenlandic Eskimo {West} [i-kal][w-gre-grw-gso][a-511][g-kala1399]','Yup`ik {Central} [i-esu][w-ych-ypk-yun][a-455][g-cent2127]',((('Naukan [i-ynk][w-yna][a-203][g-nauk1242]')'Yupik [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Eskimoan [i-][w-][a-][g-]',('Aleut {Eastern} [i-ale][w-aea-ale][a-1218][g-aleu1260]','Aleut [i-ale][w-aea-ale][a-18][g-aleu1260]')'Aleut [i-][w-][a-][g-]')'Eskimo-Aleut [i-][w-][a-][g-]');
Burushaski	(('Burushaski [i-bsk][w-bur][a-40][g-buru1296]')'Burushaski [i-][w-][a-][g-]');
Nahali	(('Nahali [i-nlx][w-][a-197][g-naha1261]')'Nahali [i-][w-][a-][g-]');
Dravidian	((('Gadaba {Kondekor} [i-gdb][w-gdk][a-3147][g-pott1240]','Parji {Dravidian} [i-pci][w-prd][a-2279][g-duru1236]','Kolami [i-kfb][w-][a-595][g-nort2699]')'Central Dravidian [i-][w-][a-][g-]',('Kisan [i-kru][w-kur][a-2881][g-kuru1302]','Dhangar [i-kxl][w-][a-2879][g-nepa1253]','Kurukh [i-kru][w-kur][a-1843][g-kuru1302]','Malto [i-kmb][w-][a-634][g-kimb1241]','Brahui [i-brh][w-brh][a-518][g-brah1256]')'North Dravidian [i-][w-][a-][g-]',('Kui {India} [i-kxu][w-kui][a-1841][g-kuii1252]',('Telugu [i-tel][w-tel][a-2537][g-telu1262]','Pengo [i-peg][w-pen][a-2284][g-peng1244]','Kuvi [i-kxv][w-kuv][a-1851][g-kuvi1243]','Koya [i-kff][w-koy][a-1736][g-koya1251]','Konda [i-kfc][w-kda][a-1734][g-kond1295]','Gondi [i-gno][w-][a-1537][g-nort2702]')'South Dravidian II {”South-Central”} [i-][w-][a-][g-]',('Betta Kurumba [i-xub][w-bkb][a-2930][g-bett1235]','Urali [i-url][w-][a-2911][g-ural1274]','Irula [i-tam][w-tml-tsp][a-2906][g-tami1289]','Tulu [i-tcy][w-tul][a-2539][g-tulu1258]','Toda [i-tcx][w-tda][a-2538][g-toda1252]','Tamil [i-tam][w-tml-tsp][a-2536][g-tami1289]','Malayalam [i-mal][w-mym][a-2019][g-mala1464]','Kodava [i-kfa][w-kod][a-1733][g-koda1255]','Tamil {Spoken} [i-tam][w-tml-tsp][a-1417][g-tami1289]','Badaga [i-bfq][w-bdg][a-1002][g-bada1257]','Kannada [i-kan][w-knd][a-535][g-nucl1305]','Kota [i-kfe][w-kot][a-142][g-kota1263]')'South Dravidian I [i-][w-][a-][g-]')'South Dravidian [i-][w-][a-][g-]')'Dravidian [i-][w-][a-][g-]');
Sino-Tibetan	((('Tshangla [i-tsj][w-tgl][a-2617][g-tsha1245]')'Tsangla [i-][w-][a-][g-]','Bai [i-bca][w-bai][a-2298][g-cent2004]','Naga {Tangkhul} [i-nmf][w-ngt][a-2186][g-tang1336]',('Naga {Zeme} [i-nzm][w-nze][a-2236][g-zeme1240]','Kabui [i-nkf][w-kbi][a-2180][g-inpu1234]')'Zeme Group [i-][w-][a-][g-]','Naxi [i-nbf][w-nax][a-2138][g-naxi1245]','Mikir [i-mjw][w-mik][a-2020][g-karb1241]',('Sulung [i-suv][w-slg][a-2499][g-sulu1241]','Sherdukpen [i-sdp][w-shd][a-2407][g-sher1257]','Bugun [i-bgg][w-][a-754][g-bugu1246]')'Greater Sherdukpen [i-][w-][a-][g-]',('Raji [i-rji][w-rji][a-735][g-raji1240]')'Raji [i-][w-][a-][g-]',('Thangmi [i-thf][w-thn][a-2563][g-than1259]','Magar {Syangja} [i-mrd][w-msy][a-2075][g-west2418]','Chepang [i-cdm][w-cpn][a-1130][g-chep1245]','Magar [i-mgp][w-mag][a-729][g-east2352]','Kham [i-kjl][w-][a-664][g-west2420]')'Remnant Himalayish [i-][w-][a-][g-]',('Rawang [i-raw][w-raw][a-2364][g-rawa1265]','Anong [i-nun][w-ano][a-2217][g-nung1282]','Dulong [i-kac][w-jng][a-663][g-kach1280]')'Nungish [i-][w-][a-][g-]',(('Mising [i-mrg][w-mhl-msg][a-2076][g-misi1242]','Milang [i-adi][w-boj-boq-gal-mil][a-789][g-damu1236]','Bokar [i-adi][w-boj-boq-gal-mil][a-752][g-damu1236]')'Eastern Tani [i-][w-][a-][g-]',('Nishi [i-njz][w-][a-1220][g-nyis1236]','Gallong [i-adl][w-][a-767][g-galo1242]','Bori [i-adi][w-boj-boq-gal-mil][a-753][g-damu1236]','Apatani [i-apt][w-apt][a-662][g-apat1240]')'Western Tani [i-][w-][a-][g-]')'Tani [i-][w-][a-][g-]',('Kanashi [i-xns][w-xns][a-3190][g-kana1283]','Zhang-Zhung [i-jna][w-zha][a-1686][g-jang1254]',('Rangkas [i-rgk][w-][a-3126][g-rang1266]','Darmiya [i-drd][w-drm][a-1388][g-darm1243]','Chaudangsi [i-cdn][w-chd][a-1131][g-chau1259]')'Almora [i-][w-][a-][g-]','Byangsi [i-bee][w-bya][a-628][g-byan1241]',('Tinani [i-lbf][w-tni][a-1868][g-tina1246]','Pattani [i-lae][w-ptt][a-1862][g-patt1248]','Gahri [i-bfu][w-ghr][a-1004][g-gahr1239]','Marchha [i-rnp][w-mrc][a-786][g-rong1264]','Rangpas [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-627][g-tibe1272]')'Greater Kinnauri [i-][w-][a-][g-]','Kinnauri [i-kfk][w-knn][a-626][g-kinn1249]')'West Himalayish [i-][w-][a-][g-]',('Sema [i-nsm][w-sem][a-2206][g-sumi1235]','Naga {Mao} [i-nbi][w-nma][a-2139][g-maon1238]','Naga {Angami} [i-njm][w-][a-625][g-anga1288]')'Angami-Pochuri Group [i-][w-][a-][g-]',('Lepcha [i-lep][w-lep][a-552][g-lepc1244]')'Lepcha [i-][w-][a-][g-]',(('Ao [i-njo][w-ao][a-2178][g-aona1235]','Lotha [i-njh][w-lot][a-2177][g-loth1237]')'Ao [i-][w-][a-][g-]',(('Chang [i-nbc][w-chg][a-2137][g-chan1313]')'Chang [i-][w-][a-][g-]',('Tutsa [i-tvt][w-tvt][a-3178][g-tuts1235]','Nocte [i-njb][w-noc][a-2176][g-noct1238]','Lungchang [i-nst][w-jug-lun][a-1377][g-tase1235]','Jugli [i-nst][w-jug-lun][a-1376][g-tase1235]')'Tangsa-Nocte [i-][w-][a-][g-]')'Konyak [i-][w-][a-][g-]',('Dhimal [i-dhi][w-dhm][a-1317][g-dhim1246]')'Dhimalish [i-][w-][a-][g-]',('Jinghpo [i-duu][w-dul][a-672][g-drun1238]')'Kachinic [i-][w-][a-][g-]',('Atong [i-aot][w-][a-3032][g-aton1241]','Rabha [i-rah][w-][a-2944][g-rabh1238]',('Deori [i-der][w-deu][a-1275][g-deor1238]')'Deori [i-][w-][a-][g-]',('Kokborok [i-trp][w-kok][a-2610][g-kokb1239]','Kachari [i-xac][w-kac][a-2353][g-kach1279]','Dimasa [i-dis][w-dms][a-1327][g-dima1251]','Bodo [i-brx][w-bod][a-1070][g-bodo1269]')'Bodo [i-][w-][a-][g-]','Garo [i-grt][w-gar][a-528][g-garo1247]')'Bodo-Koch {Barish. Bodo-Garo} [i-][w-][a-][g-]')'Brahmaputran {Sal} [i-][w-][a-][g-]','Meithei [i-mni][w-mei][a-501][g-mani1292]',('Newar {Kathmandu} [i-new][w-new-nwd][a-640][g-newa1246]','Newar {Dolakha} [i-new][w-new-nwd][a-468][g-newa1246]')'Newaric [i-][w-][a-][g-]',(('Ralte [i-ral][w-ral][a-3171][g-ralt1242]','Tarao [i-tro][w-tao][a-2609][g-tara1313]','Thadou [i-tcz][w-thd][a-2540][g-thad1238]','Paite [i-pck][w-pte][a-2280][g-pait1244]')'Northern Chin [i-][w-][a-][g-]',('Hmar [i-hmr][w-hma][a-1611][g-hmar1241]')'Kuki [i-][w-][a-][g-]',('Hyow [i-csh][w-hyo][a-1188][g-asho1236]','Khumi [i-cnk][w-khu][a-1156][g-khum1248]')'Southern Chin [i-][w-][a-][g-]',('Chin {Mara} [i-mrh][w-cmr][a-2077][g-mara1382]','Mizo {Lushai} [i-lus][w-miz][a-1914][g-lush1249]','Chin {Tiddim} [i-ctd][w-cti][a-1195][g-tedi1235]','Chin {Siyin} [i-csy][w-chs][a-1193][g-siyi1240]','Bawm [i-bgr][w-baw][a-517][g-bawm1236]','Hakka Lai [i-cnh][w-lai][a-154][g-haka1240]')'Central Chin [i-][w-][a-][g-]')'Kukish {Mizo-Kuki-Chin} [i-][w-][a-][g-]',(('Old Thulung {Mukli} [i-tdh][w-thu][a-2999][g-thul1246]','Koyi [i-kkt][w-][a-2980][g-koii1238]','Thulung {Ribdung} [i-tdh][w-thu][a-2979][g-thul1246]','Thulung {Mukli} [i-tdh][w-thu][a-667][g-thul1246]')'Midwestern Kiranti [i-][w-][a-][g-]',(('Jero [i-jee][w-][a-2998][g-jeru1240]','Wambule [i-wme][w-wme][a-2865][g-wamb1257]')'Chaurasiya [i-][w-][a-][g-]',('Khaling [i-klr][w-khg][a-1778][g-khal1275]','Dumi [i-dus][w-dmi][a-1439][g-dumi1241]')'Upper Dudhkosi [i-][w-][a-][g-]',('Bahing [i-bhj][w-][a-3007][g-bahi1252]','Koic [i-suz][w-][a-2956][g-sunw1242]','Hayu [i-vay][w-hay][a-632][g-wayu1241]')'Northwestern Kiranti [i-][w-][a-][g-]')'Western Kiranti [i-][w-][a-][g-]',((('Bantawa [i-bap][w-][a-2873][g-bant1281]','Puma [i-pum][w-][a-2863][g-puma1239]','Camling [i-rab][w-cml][a-2360][g-caml1239]')'Southern Kiranti [i-][w-][a-][g-]',('Kulung [i-kle][w-klg][a-1775][g-kulu1253]')'Khambu [i-][w-][a-][g-]')'Central Kiranti [i-][w-][a-][g-]',(('Limbu [i-lif][w-lim][a-674][g-limb1266]')'Limbu [i-][w-][a-][g-]',('Lohorung [i-lbr][w-][a-3010][g-nort2727]','Yamphu [i-ybi][w-][a-637][g-sout2734]')'Upper Arun [i-][w-][a-][g-]',('Yakkha [i-ybh][w-][a-2996][g-yakk1236]','Chintang [i-ctn][w-][a-2862][g-chhi1245]','Athpare [i-aph][w-ath][a-908][g-athp1241]','Belhare [i-byw][w-bel][a-35][g-belh1239]')'Greater Yakkha [i-][w-][a-][g-]')'Eastern Kiranti [i-][w-][a-][g-]')'Central-Eastern Kiranti [i-][w-][a-][g-]')'Kiranti [i-][w-][a-][g-]',(('Tangbe [i-skj][w-tbx][a-3176][g-seke1240]','Nar-Phu [i-npa][w-nph][a-2196][g-narp1239]','Baragaunle [i-loy][w-brl][a-1051][g-lowa1242]','Thakali [i-ths][w-thk][a-730][g-thak1245]','Kaike [i-kzq][w-][a-728][g-kaik1246]','Tamang {Eastern} [i-taj][w-tam][a-724][g-east2347]','Manange [i-nmm][w-nmm][a-690][g-mana1288]','Chantyal [i-chx][w-chn][a-629][g-chan1310]','Gurung [i-gvr][w-][a-434][g-west2414]')'Tamangic {TGTM} [i-][w-][a-][g-]',('Tibetan {Amdo} [i-adx][w-amd-amt][a-3136][g-amdo1237]',('Tibetan {Classical} [i-xct][w-][a-2824][g-clas1254]')'Classical Tibetan [i-][w-][a-][g-]','Sikkimese [i-sip][w-skk][a-2430][g-sikk1242]','Sherpa [i-xsr][w-she][a-2402][g-sher1255]',('Tod [i-sbu][w-tod][a-2399][g-stod1241]')'Western Innovative Tibetan [i-][w-][a-][g-]','Spitian [i-spt][w-][a-1423][g-spit1240]',('Kham {Dege} [i-khg][w-khd-knz][a-3151][g-kham1282]','Amdo [i-adx][w-amd-amt][a-838][g-amdo1237]','Tibetan {Dege} [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-723][g-tibe1272]')'Eastern Kham Tibetan [i-][w-][a-][g-]',('Purki [i-prx][w-prk][a-1096][g-puri1258]','Balti [i-bft][w-blt][a-631][g-balt1258]','Ladakhi [i-lbj][w-lad][a-548][g-lada1244]')'Western Archaic Tibetan [i-][w-][a-][g-]',('Nyamkad [i-tpq][w-nyk][a-2605][g-tukp1239]','Tibetan {Shigatse} [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-1425][g-tibe1272]','Tibetan {Modern Literary} [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-1424][g-tibe1272]','Jad [i-jda][w-][a-1422][g-jadd1243]','Tibetan {Kyirong} [i-kgy][w-kgy][a-720][g-kyer1238]','Tibetan {Lhasa} [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-691][g-tibe1272]','Lhomi [i-lhm][w-lho][a-630][g-lhom1239]','Tibetan {Standard Spoken} [i-bod][w-jad-rpa-shg-spi-tdi-tdr-tib-tis-tmo][a-375][g-tibe1272]')'Central Tibetan {U-Tsang} [i-][w-][a-][g-]')'Tibetan [i-][w-][a-][g-]')'Bodic [i-][w-][a-][g-]',('Phlong [i-pww][w-phl][a-2347][g-pwon1235]','Karen {Pwo} [i-kjp][w-][a-1765][g-pwoe1235]','Kayah Li {Eastern} [i-eky][w-kyl][a-1466][g-east2342]','Karen {Bwe} [i-bwe][w-kbw][a-1091][g-bwek1238]','Kayah Li [i-kyu][w-][a-538][g-west2409]','Karen {Sgaw} [i-ksw][w-ksg][a-226][g-sgaw1245]')'Karenic [i-][w-][a-][g-]',(('Maru [i-mhx][w-mru][a-1996][g-maru1249]','Arakanese {Marma} [i-mhv][w-akm][a-1995][g-marm1234]','Achang [i-acn][w-acn][a-831][g-acha1249]','Burmese [i-mya][w-brm][a-463][g-nucl1310]')'Burmish [i-][w-][a-][g-]',(('Yi [i-iii][w-yi][a-2771][g-sich1238]','Nusu [i-nuf][w-nus][a-2215][g-nusu1239]')'Northern Loloish [i-][w-][a-][g-]',('Hani [i-hni][w-han][a-1612][g-hani1248]','Bisu [i-bzi][w-][a-1019][g-bisu1244]','Akha [i-ahk][w-akh][a-470][g-akha1245]')'Southern Loloish [i-][w-][a-][g-]',(('Lalo [i-ywt][w-lal][a-2774][g-xish1235]')'Western Yi [i-][w-][a-][g-]','Lisu [i-lis][w-lis][a-1889][g-lisu1250]','Jino [i-jiu][w-][a-1684][g-youl1235]','Lahu [i-lhu][w-lah][a-225][g-lahu1253]')'Central Loloish [i-][w-][a-][g-]')'Loloish [i-][w-][a-][g-]')'Lolo-Burmese [i-][w-][a-][g-]',('Tujia [i-tji][w-][a-2871][g-nort2732]','Jiarong [i-jya][w-gyc-jia-rgc][a-1694][g-jiar1239]','Qiang [i-cng][w-][a-722][g-nort2722]','Pumi [i-pmi][w-][a-223][g-nort2723]')'Qiangic [i-][w-][a-][g-]',('Miju [i-mxj][w-mij][a-2108][g-miju1243]','Idu [i-clk][w-idu][a-1161][g-idum1241]','Mishmi [i-mhu][w-dig][a-221][g-diga1241]')'Mishmi [i-][w-][a-][g-]',('Dungan [i-dng][w-][a-2845][g-dung1253]',('Xiang [i-hsn][w-][a-3008][g-xian1251]','Wu [i-wuu][w-wuc][a-2742][g-wuch1236]','Hakka [i-hak][w-hak][a-1593][g-hakk1236]')'Central Sinitic [i-][w-][a-][g-]',('Cantonese [i-yue][w-cnt][a-2790][g-yuec1235]','Xiamen [i-nan][w-chz-hok-taq-xia][a-1250][g-minn1241]','Taiwanese [i-nan][w-chz-hok-taq-xia][a-1249][g-minn1241]','Hokkien [i-nan][w-chz-hok-taq-xia][a-1248][g-minn1241]','Chaozhou [i-nan][w-chz-hok-taq-xia][a-1247][g-minn1241]','Fuzhou [i-cdo][w-fuz][a-1132][g-mind1253]')'Southern Sinitic [i-][w-][a-][g-]',('Kunming [i-cmn][w-kug-mnd][a-1251][g-mand1415]','Mandarin [i-cmn][w-kug-mnd][a-171][g-mand1415]')'Northern Sinitic [i-][w-][a-][g-]')'Sinitic [i-][w-][a-][g-]')'Sino-Tibetan [i-][w-][a-][g-]');
Austroasiatic	(((('Parauk [i-prk][w-puk][a-2332][g-para1301]','Palaung [i-pll][w-][a-2278][g-shwe1236]')'Palaungic [i-][w-][a-][g-]',('Ksingmul [i-puo][w-ksi][a-2344][g-puoc1238]','Mlabri {Minor} [i-mra][w-mlm][a-2074][g-mlab1235]','Khmu [i-kjg][w-kmu][a-541][g-khmu1256]')'Khmuic [i-][w-][a-][g-]',('Khasi [i-kha][w-khs][a-540][g-khas1269]')'Khasic [i-][w-][a-][g-]')'Northern Mon-Khmer [i-][w-][a-][g-]',(('Chong [i-cog][w-][a-3194][g-chon1284]')'Pearic [i-][w-][a-][g-]',('Pacoh [i-pac][w-pac][a-2268][g-paco1243]','Katu [i-ktv][w-][a-1830][g-east1236]','Bru {Western} [i-brv][w-brw][a-1069][g-west2397]','Bru {Eastern} [i-bru][w-bru][a-1068][g-east2332]')'Katuic [i-][w-][a-][g-]',('Bahnar [i-bdq][w-bpb][a-2851][g-bahn1262]','Stieng [i-sti][w-][a-2489][g-bulo1242]','Sapuan [i-spu][w-sap][a-2468][g-sapu1248]','Sedang [i-sed][w-sed][a-2409][g-seda1262]','Rengao [i-ren][w-rng][a-2367][g-reng1252]','Oi [i-oyb][w-oi][a-2266][g-oyyy1238]','Mnong {Eastern} [i-mng][w-mge][a-2043][g-east2333]','Loven [i-lbo][w-lov][a-1869][g-lave1248]','Sre [i-kpm][w-sre][a-1804][g-koho1244]','Jeh [i-jeh][w-jeh][a-1678][g-jehh1245]','Hre [i-hre][w-hre][a-1617][g-hree1244]','Halang [i-hal][w-hln][a-1594][g-hala1252]','Cua [i-cua][w-cua][a-1199][g-cuaa1241]','Chrau [i-crw][w-chr][a-1139][g-chra1242]','Brao [i-brb][w-bra][a-1061][g-lave1249]','Bahnar {Plei Bong-Mang Yang} [i-bdq][w-bpb][a-990][g-bahn1262]')'Bahnaric [i-][w-][a-][g-]',('Cambodian [i-khm][w-khm][a-614][g-cent1989]')'Khmeric [i-][w-][a-][g-]',(('Muong [i-mtq][w-muo][a-2092][g-muon1246]')'Muongic [i-][w-][a-][g-]',('Vietnamese [i-vie][w-vie][a-494][g-viet1252]')'Vietic [i-][w-][a-][g-]')'Viet-Muong [i-][w-][a-][g-]')'Eastern Mon-Khmer [i-][w-][a-][g-]',(('Mon [i-mnw][w-mon][a-2047][g-monn1252]','Nyah Kur {Tha Pong} [i-cbn][w-nkt][a-1125][g-nyah1250]')'Monic [i-][w-][a-][g-]',('Shompen [i-sii][w-][a-3175][g-shom1245]','Nicobarese [i-nik][w-][a-2142][g-sout2689]','Nancowry [i-ncb][w-nic-nnc][a-1365][g-cent1990]','Car [i-caq][w-nca][a-44][g-carn1240]')'Nicobaric [i-][w-][a-][g-]',('Mah Meri [i-mhe][w-mhm][a-1987][g-besi1244]',('Jahai [i-jhi][w-jah][a-1682][g-jeha1242]')'Jehaic [i-][w-][a-][g-]',('Semelai [i-sza][w-sml][a-566][g-seme1247]')'Semelaic [i-][w-][a-][g-]',('Semai [i-sea][w-smj][a-2408][g-sema1266]','Temiar [i-tea][w-tmr][a-371][g-temi1246]')'Senoic [i-][w-][a-][g-]')'Aslian [i-][w-][a-][g-]')'Southern Mon-Khmer [i-][w-][a-][g-]',('Ho [i-hoc][w-ho][a-1615][g-hooo1248]','Gadaba [i-gbj][w-gdb][a-1524][g-bodo1267]','Bhumij [i-unr][w-bhu-mun][a-1362][g-mund1320]',('Korku [i-kfq][w-kku][a-1737][g-kork1243]',('Satar [i-sat][w-stl][a-2880][g-sant1410]','Santali [i-sat][w-stl][a-635][g-sant1410]','Mundari [i-unr][w-bhu-mun][a-558][g-mund1320]')'Kherwarian [i-][w-][a-][g-]')'Northern Munda [i-][w-][a-][g-]',('Sora [i-srb][w-sor][a-2470][g-sora1254]','Kharia [i-khr][w-khr][a-1750][g-khar1287]','Juang [i-jun][w-jun][a-1691][g-juan1238]','Remo [i-rem][w-][a-1005][g-remo1248]',('Gorum [i-pcj][w-][a-228][g-pare1266]')'Koraput [i-][w-][a-][g-]')'Southern Munda [i-][w-][a-][g-]')'Munda [i-][w-][a-][g-]')'Austroasiatic [i-][w-][a-][g-]');
